dspace field name,element name,mandatory?,element description,element guidance,element link for more information,idss element cluster,fsc extension module,element options,element source,element type,element link for dublin core attributes
fsc.audit.documentationCat,FSC audit documentation categories,,,select from control list,,FSC,Assurance,multi select from control list,FSC,controlled value,
fsc.audit.samplingSystem,FSC audit sampling system,,,select from control list,,FSC,Assurance,multi select from control list,FSC,controlled value,
fsc.audit.site,FSC audit site types,,,select from control list,,FSC,Assurance,multi select from control list,FSC,controlled value,
fsc.audit.stakeholderEngagement,FSC audit stakeholder engagement types,,,select from control list,,FSC,Assurance,multi select from control list,FSC,controlled value,
fsc.audit.stakeholderType,FSC audit stakeholder types,,,select from control list,,FSC,Assurance,multi select from control list,FSC,controlled value,
fsc.audit.type,FSC audit type,,,select from control list,,FSC,Assurance,single select from control list,FSC,controlled value,
fsc.certificate.category,FSC certificate category,,Categories of FSC certificates,select from control list,,FSC,Certificate,single select from control list,FSC,controlled value,
fsc.certificate.type,FSC certificate type,,Types of FSC certificates,select from control list,,FSC,Certificate,single select from control list,FSC,controlled value,
fsc.coverage.region,FSC coverage region,,FSC region the resource covers (different to the ISEAL list),select from control list,,FSC,Coverage,multi select from control list,FSC,controlled value,
fsc.docCode,FSC resource type,,,select from control list,,FSC,Form,single select from control list,FSC,controlled value,
fsc.standard.type,FSC standard type,,,select from control list,,FSC,Form,multi select from control list,FSC,controlled value,
fsc.evidenceCategory,FSC evidence category,,,select from control list,,FSC,Evaluation,single select from control list,FSC,controlled value,
is.pesticide.biocontrolAgent,Pest biocontrol agent,,Alternative biocontrol agent to control a pest,,,FSC,Pesticides,repeat values,FSC,free value,
is.pesticide.pestName,Pest common name,,Common name of a pest,,,FSC,Pesticides,repeat values,FSC,free value,
is.pesticide.pestSpecies,Pest species name,,Species name of a pest,,,FSC,Pesticides,repeat values,FSC,free value,
is.pesticide.pestType,Pest type,,Type of a pest,select from control list,,FSC,Pesticides,multi select from control list,FSC,controlled value,
is.pesticide.activeIngredient,Pesticide active ingredient,,Pesticide active ingredient,select from control list,,FSC,Pesticides,multi select from control list,FSC,controlled value,
is.pesticide.challenge,Pesticide alternatives challenge,,Challenge a pesticide aims to control,,,FSC,Pesticides,repeat values,FSC,free value,
is.pesticide.alternativeMethod,Pesticide alternatives method,,Method used to control a pest,select from control list,,FSC,Pesticides,multi select from control list,FSC,controlled value,
is.pesticide.alternativeStrategy,Pesticide alternatives strategy,,Strategy to tackle a pest,,,FSC,Pesticides,repeat values,FSC,free value,
is.pesticide.alternativeTrial,Pesticide alternatives trial status,,Type of alternatives strategy,select from control list,,FSC,Pesticides,multi select from control list,FSC,controlled value,
is.pesticide.alternativeType,Pesticide alternatives type,,Whether the alternative pesticide approach has been trialed,Yes or No,,FSC,Pesticides,single select from control list,FSC,controlled value,
is.pesticide.commonName,Pesticide common name,,Common name of the pesticide,select from control list,http://www.alanwood.net/pesticides/index_cn_frame.html,FSC,Pesticides,multi select from control list,FSC,controlled value,
fsc.wood.code,FSC controlled wood code,,,select from control list,,FSC,Scope,multi select from control list,FSC,controlled value,
fsc.issue.economic,FSC economic issues,,Outcome(s) the resource mainly supports or contributes to,select from control list,,FSC,Scope,repeat values,FSC,free value,
fsc.topic.economic,FSC economic topics,,,select from control list,,FSC,Scope,repeat values,FSC,free value,
fsc.issue.environmental,FSC environmental issues,,Indicate the outcome(s) the resource mainly supports or contributes to,select from control list,,FSC,Scope,repeat values,FSC,free value,
fsc.topic.environmental,FSC environmental topics,,,select from control list,,FSC,Scope,repeat values,FSC,free value,
fsc.focus.forestSpecies,FSC forest and tree species,,Species included in the coverage of the resource,select from control list,,FSC,Scope,multi select from control list,FSC,controlled value,
fsc.focus.forestZone,FSC forest biome / zone,,Forest zone(s) included in the coverage of the resource,select from control list,,FSC,Scope,multi select from control list,FSC,controlled value,
fsc.focus.harvestingTechnique,FSC forest harvesting techniques,,,select from control list,,FSC,Scope,multi select from control list,FSC,controlled value,
fsc.focus.fmPrinciple,FSC forest management principle,,Forest Management principle(s) the resource supports or contributes to,select from control list,,FSC,Scope,multi select from control list,FSC,controlled value,
fsc.focus.fmControl,FSC forest management type of control,,Forest Management control type(s) included in the coverage of the resource,select from control list,,FSC,Scope,multi select from control list,FSC,controlled value,
fsc.focus.forestMonitoring,FSC forest monitoring methods,,,select from control list,,FSC,Scope,multi select from control list,FSC,controlled value,
fsc.focus.forestProduct,FSC forest products,,Forest products included in the coverage of the resource,select from control list,,FSC,Scope,multi select from control list,FSC,controlled value,
fsc.focus.forestProductIdSys,FSC forest products identification system,,,select from control list,,FSC,Scope,multi select from control list,FSC,controlled value,
fsc.focus.forestType,FSC forest type,,Type(s) of forest included in the coverage of the resource,select from control list,,FSC,Scope,multi select from control list,FSC,controlled value,
fsc.focus.forestrySafeguard,FSC forestry environmental safeguards,,,select from control list,,FSC,Scope,multi select from control list,FSC,controlled value,
fsc.focus.highConservationVal,FSC high conservation values,,,select from control list,,FSC,Scope,multi select from control list,FSC,controlled value,
fsc.focus.nonForestryActivity,FSC non-forestry activities,,,select from control list,,FSC,Scope,multi select from control list,FSC,controlled value,
fsc.focus.nonForestryService,FSC non-forestry services for local communities,,,select from control list,,FSC,Scope,multi select from control list,FSC,controlled value,
fsc.focus.outcome,FSC outcomes and benefits,,Outcome(s) the resource mainly supports or contributes to,select from control list,,FSC,Scope,multi select from control list,FSC,controlled value,
fsc.issue.political,"FSC political, systemic or legal issues",,Outcome(s) the resource mainly supports or contributes to,select from control list,,FSC,Scope,repeat values,FSC,free value,
fsc.topic.political,"FSC political, systemic or legal topics",,,select from control list,,FSC,Scope,repeat values,FSC,free value,
fsc.focus.scope,FSC scope - SLIMF type,,Small or Low Intensity Managed Forests,select from control list,,FSC,Scope,single select from control list,FSC,controlled value,
fsc.issue.social,FSC social issues,,Outcome(s) the resource mainly supports or contributes to,select from control list,,FSC,Scope,repeat values,FSC,free value,
fsc.topic.social,FSC social topics,,,select from control list,,FSC,Scope,repeat values,FSC,free value,
fsc.subject,FSC subject keywords,,Keywords that help to describe the resource content or coverage,select from control list,,FSC,Scope,repeat values,FSC,free value,
fsc.focus.sustainDimension,FSC sustainability dimension,,Sustainability dimension(s) the resource mainly supports or contributes to,select from control list,,FSC,Scope,multi select from control list,FSC,controlled value,
fsc.focus.tenureManagement,FSC tenure management,,Tenure management included in the coverage of the resource,select from control list,,FSC,Scope,multi select from control list,FSC,controlled value,
fsc.focus.tenureOwnership,FSC tenure ownership,,Tenure ownership included in the coverage of the resource,select from control list,,FSC,Scope,multi select from control list,FSC,controlled value,
fsc.inTransition,Transition status,,Whether the standard is in transition,Yes or No,,FSC,Status,single select from control list,FSC,controlled value,
fsc.transitionEndDate,Transition end date,,Transition end date of the standard,"Date in YYYY-MM-DD format. At the very least you must enter the year, but month and day is better if possible.",,FSC,Status,single value only,FSC,date,
fsc.contributor.member,FSC entity contributor,,Association with an FSC entity or office,select from control list,,FSC,Provenance,multi select from control list,FSC,controlled value,
