dspace field name,element name,mandatory?,element description,element guidance,element link for more information,idss element cluster,idss schema module,element options,element source,element type,element link for dublin core attributes
is.certificate.ID,"Certificate code, number or ID",,Certificate ID code,,,CERTIFICATION,Certificate,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certificate.locations,Certificate coverage type,,Whether a certificate covers single or multiple locations,Select from control list,,CERTIFICATION,Certificate,SINGLE SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.certificate.duration,Certificate current duration,,The number of months a certificate is valid for,,,CERTIFICATION,Certificate,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certificate.endDate,Certificate current end date,,End date for the current certificate,"Date in YYYY-MM-DD format. At the very least you must enter the year, but month and day is better if possible.",,CERTIFICATION,Certificate,SINGLE VALUE ONLY,ISEAL,DATE,
is.certificate.startDate,Certificate current start date,,Start date for the current certificate,"Date in YYYY-MM-DD format. At the very least you must enter the year, but month and day is better if possible.",,CERTIFICATION,Certificate,SINGLE VALUE ONLY,ISEAL,DATE,
is.certificate.firstStartDate,Certificate first issue date,,First issue date for the certificate,"Date in YYYY-MM-DD format. At the very least you must enter the year, but month and day is better if possible.",,CERTIFICATION,Certificate,SINGLE VALUE ONLY,ISEAL,DATE,
is.certificate.licenseCode,Certificate license code,,License applied to a certificate,,,CERTIFICATION,Certificate,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certificate.licenseStatus,Certificate license status,,Whether a certificate license is valid or suspended,Select from control list,,CERTIFICATION,Certificate,SINGLE SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.certificate.ownership,Certificate ownership type,,Whether a certificate covers individual or group owners,Select from control list,,CERTIFICATION,Certificate,SINGLE SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.certificate.scope,Certificate scope,,Terms describing the scope of a certificate,,,CERTIFICATION,Certificate,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certificate.status,Certificate status,,The current status of a certificate,Select from control list,,CERTIFICATION,Certificate,SINGLE SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.certificate.type,Certificate type,,Type of certificate,Select from control list,,CERTIFICATION,Certificate,SINGLE SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.certifiedOrganization.city,"Certificate holder, owner or certified organization city",,Complete name of a city or town in an address,,,CERTIFICATION,"Certificate Holder, Owner or Certified organization",SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certifiedOrganization.country,"Certificate holder, owner or certified organization country",,Full country name. Terms should be in ISO 3166-1 format.,Select from control list,,CERTIFICATION,"Certificate Holder, Owner or Certified organization",SINGLE SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.certifiedOrganization.email,"Certificate holder, owner or certified organization email address",,Email address of an organization,,,CERTIFICATION,"Certificate Holder, Owner or Certified organization",SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certifiedOrganization.gln,"Certificate holder, owner or certified organization GLN",,Global Location Number of companies to identify their locations,,https://www.gs1.org/standards/id-keys/gln,CERTIFICATION,"Certificate Holder, Owner or Certified organization",SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certifiedOrganizationID,"Certificate holder, owner or certified organization ID",,A number or other consistent code assigned to a certificate holder by a certifying body or scheme,,,CERTIFICATION,"Certificate Holder, Owner or Certified organization",SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certifiedOrganization.addressLatLong,"Certificate holder, owner or certified organization latitude and longitude location coordinates",,Latitude and longitude location coordinates in decimal degrees (DD). Recording 4 digits to the right of the decimal provides an accuracy of 10m.,"Example of a latitude/longitude coordinate pair in Bolivia: -16.9013, -62.0244",,CERTIFICATION,"Certificate Holder, Owner or Certified organization",SINGLE VALUE ONLY,ISEAL,GEO VALUE,
is.certifiedOrganization.addressLat,"Certificate holder, owner or certified organization latitude location coordinate",,Latitude location coordinates in decimal degrees (DD). Recording 4 digits to the right of the decimal provides an accuracy of 10m.,Example of a latitude coordinate in Bolivia: -16.9013,,CERTIFICATION,"Certificate Holder, Owner or Certified organization",SINGLE VALUE ONLY,ISEAL,GEO VALUE,
is.certifiedOrganization.addressLong,"Certificate holder, owner or certified organization longitude location coordinate",,Longitude location coordinates in decimal degrees (DD). Recording 4 digits to the right of the decimal provides an accuracy of 10m.,Example of a longitude coordinate in Bolivia: -62.0244,,CERTIFICATION,"Certificate Holder, Owner or Certified organization",SINGLE VALUE ONLY,ISEAL,GEO VALUE,
is.certifiedOrganization.name,"Certificate holder, owner or certified organization name",,Entity or individual certified to produce or market a product under the terms of the certificate,,,CERTIFICATION,"Certificate Holder, Owner or Certified organization",SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certifiedOrganization.phoneCountryCode,"Certificate holder, owner or certified organization phone country code",,International subscriber dialing (ISD) codes,,https://en.wikipedia.org/wiki/List_of_country_calling_codes,CERTIFICATION,"Certificate Holder, Owner or Certified organization",SINGLE VALUE ONLY,ISEAL,NUMERIC VALUE,
is.certifiedOrganization.phoneNumber,"Certificate holder, owner or certified organization phone number",,Official contact phone number of the organization - without country code,,,CERTIFICATION,"Certificate Holder, Owner or Certified organization",SINGLE VALUE ONLY,ISEAL,NUMERIC VALUE,
is.certifiedOrganization.postCode,"Certificate holder, owner or certified organization postcode",,Full postcode of an address,,,CERTIFICATION,"Certificate Holder, Owner or Certified organization",SINGLE VALUE ONLY,ISEAL,FREE VALUE,
